sessionName,time,condition,v_attention1,v_refMovie_1,v_preListOrder_1,v_postListOrder_1,v_listSelectedFrom1,v_movieSelected1,v_moviePosition1,v_clickCount1,v_dragCount1,v_moveDistanceA1,v_moveDistanceC1,v_moveDistanceD1,v_browsingTime1,v_zoomPressed1,q_outc_satisfactionScore1,c_movieInListPos1,v_refMovie_2,v_preListOrder_2,v_postListOrder_2,v_listSelectedFrom2,v_movieSelected2,v_moviePosition2,v_clickCount2,v_dragCount2,v_moveDistanceA2,v_moveDistanceC2,v_moveDistanceD2,v_browsingTime2,v_zoomPressed2,q_outc_satisfactionScore2,c_movieInListPos2,v_refMovie_3,v_preListOrder_3,v_postListOrder_3,v_listSelectedFrom3,v_movieSelected3,v_moviePosition3,v_clickCount3,v_dragCount3,v_moveDistanceA3,v_moveDistanceC3,v_moveDistanceD3,v_browsingTime3,v_zoomPressed3,q_outc_satisfactionScore3,c_movieInListPos3,v_refMovie_4,v_preListOrder_4,v_postListOrder_4,v_listSelectedFrom4,v_movieSelected4,v_moviePosition4,v_clickCount4,v_dragCount4,v_moveDistanceA4,v_moveDistanceC4,v_moveDistanceD4,v_browsingTime4,v_zoomPressed4,q_outc_satisfactionScore4,c_movieInListPos4,v_refMovie_5,v_preListOrder_5,v_postListOrder_5,v_listSelectedFrom5,v_movieSelected5,v_moviePosition5,v_clickCount5,v_dragCount5,v_moveDistanceA5,v_moveDistanceC5,v_moveDistanceD5,v_browsingTime5,v_zoomPressed5,q_outc_satisfactionScore5,c_movieInListPos5,c_moveDistanceAavg,c_moveDistanceCavg,c_moveDistanceDavg,c_clickCountAvg,c_dragCountAvg,c_movieInListPosAvg,c_preferecControl,c_moviePosAvg,v_surveyTime,v_totalTime,v_attention2,q_dem_onlineUsage,q_dem_movieUsage,q_dem_age,c_ageGroup,q_dem_gender,c_dem_genderCat,q_sys_freqUse,q_sys_complex,q_sys_easeUse,q_sys_techNeed,q_sys_funcInteg,q_sys_inconsist,q_sys_learnUse,q_sys_cumbUse,q_sys_confUse,q_sys_learnToUse,c_sys_SUS,q_proc_searchSim,q_proc_decidDiff,q_proc_recImprove,q_proc_control,q_proc_sorting,c_outc_listSatAvg,q_outc_diversity,q_outc_novelty,q_outc_serendipity,q_outc_relevance,q_comment,c_All_IndexAvg,c_Title_IndexAvg,c_Image_IndexAvg,c_Plot_IndexAvg,c_Genre_IndexAvg,c_Stars_IndexAvg,c_Director_IndexAvg,c_Date_IndexAvg,c_Tag_IndexAvg,c_SVD_IndexAvg,c_Baseline_IndexAvg,c_All_Picked,c_Title_Picked,c_Image_Picked,c_Plot_Picked,c_Genre_Picked,c_Stars_Picked,c_Director_Picked,c_Date_Picked,c_Tag_Picked,c_SVD_Picked,c_Baseline_Picked
KG27VL5VAGVJZ,2020-10-09T12:19:30.638Z,3,TRUE,3534.json,Tag-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot-Stars,Tag-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot-Stars,Stars,4993.json,10,0,0,0,0,0,38.93,1,5,0,86644.json,Stars-Tag-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Stars-Tag-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag,130634.json,1,0,0,0,0,0,12.9,1,5,0,4896.json,Tag-Stars-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag-Stars-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag,59501.json,0,0,0,0,0,0,9.65,0,4,0,648.json,Tag-Stars-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag-Stars-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag,4901.json,0,0,0,0,0,0,28.12,0,5,1,3082.json,Tag-Stars-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag-Stars-Director-Image-Date-Genre-SVD-Title-Baseline-All-Plot,Tag,63113.json,0,0,0,0,0,0,6.83,0,5,0,0,0,0,0,0,0.2,0,2.2,100.25,412.77,FALSE,2,5,41,3,Male,2,5,4,3,4,5,4,3,4,5,4,52.5,3,5,4,3,4,4.8,4,3,5,4,none,44,34,14,49,24,13,9,19,1,29,39,0,0,0,0,0,1,0,0,4,0,0
KG27WV56TAD43,2020-10-09T12:19:54.827Z,3,FALSE,5066.json,Baseline-All-Plot-Stars-Date-Image-Tag-Title-Director-SVD-Genre,Baseline-All-Plot-Stars-Date-Image-Tag-Title-Director-SVD-Genre,Tag,8533.json,6,0,0,0,0,0,89.71,0,5,1,2719.json,Tag-Baseline-All-Plot-Stars-Date-Image-Title-Director-SVD-Genre,Tag-Baseline-All-Plot-Stars-Date-Image-Title-Director-SVD-Genre,Date,2762.json,5,0,0,0,0,0,21.46,0,5,1,477.json,Tag-Baseline-Date-All-Plot-Stars-Image-Title-Director-SVD-Genre,Tag-Baseline-Date-All-Plot-Stars-Image-Title-Director-SVD-Genre,Stars,93.json,5,0,0,0,0,0,18.42,0,4,3,2517.json,Tag-Baseline-Date-Stars-All-Plot-Image-Title-Director-SVD-Genre,Tag-Baseline-Date-Stars-All-Plot-Image-Title-Director-SVD-Genre,Director,332.json,8,0,0,0,0,0,35.2,0,3,4,51077.json,Tag-Baseline-Date-Stars-All-Plot-Director-Image-Title-SVD-Genre,Tag-Baseline-Date-Stars-All-Plot-Director-Image-Title-SVD-Genre,Director,4876.json,6,0,0,0,0,0,39.39,0,4,2,0,0,0,0,0,2.2,0,6,126.19,717.53,TRUE,1,5,34,2,Female,1,4,1,5,1,4,2,3,2,4,1,82.5,4,3,4,4,5,4.2,4,2,3,3,I do not have any comments. Thanks,14,36,30,19,50,18,38,15,6,45,4,0,0,0,0,0,1,2,1,1,0,0
KG27VY9KMSW2Y,2020-10-09T12:20:23.040Z,3,TRUE,117529.json,Image-Plot-Date-Baseline-Genre-Title-Stars-Tag-Director-SVD-All,Image-Plot-Date-Baseline-Genre-Title-Stars-Tag-Director-SVD-All,Plot,1544.json,1,0,0,0,0,0,27.93,0,5,3,6155.json,Plot-Image-Date-Baseline-Genre-Title-Stars-Tag-Director-SVD-All,Plot-Image-Date-Baseline-Genre-Title-Stars-Tag-Director-SVD-All,Stars,3897.json,6,0,0,0,0,0,48.95,2,3,1,4369.json,Plot-Image-Date-Stars-Baseline-Genre-Title-Tag-Director-SVD-All,Plot-Image-Date-Stars-Baseline-Genre-Title-Tag-Director-SVD-All,Image,1608.json,1,0,0,0,0,0,14.64,0,2,0,1088.json,Plot-Image-Date-Stars-Baseline-Genre-Title-Tag-Director-SVD-All,Plot-Image-Date-Stars-Baseline-Genre-Title-Tag-Director-SVD-All,Tag,1380.json,7,0,0,0,0,0,53.49,0,2,0,115149.json,Plot-Image-Date-Stars-Baseline-Genre-Tag-Title-Director-SVD-All,Plot-Image-Date-Stars-Baseline-Genre-Tag-Title-Director-SVD-All,Plot,1573.json,0,0,0,0,0,0,7.32,0,5,3,0,0,0,0,0,1.4,0,3,90.64,411.73,TRUE,2,1,36,3,Female,1,3,1,5,1,4,1,4,1,4,1,87.5,1,1,2,4,3,3.4,4,4,4,3,This was an interesting concept. We are always looking for movies to watch. ,50,29,4,1,23,21,40,10,34,45,18,0,0,1,2,0,1,0,0,1,0,0
KG27W6TYCUTYR,2020-10-09T12:20:32.411Z,3,FALSE,3825.json,All-Baseline-Director-Date-Stars-Title-Image-SVD-Plot-Tag-Genre,All-Baseline-Director-Date-Stars-Title-Image-SVD-Plot-Tag-Genre,Image,7046.json,6,0,0,0,0,0,43.13,1,3,1,88405.json,Image-All-Baseline-Director-Date-Stars-Title-SVD-Plot-Tag-Genre,Image-All-Baseline-Director-Date-Stars-Title-SVD-Plot-Tag-Genre,All,84374.json,1,0,0,0,0,0,18.57,1,3,4,56367.json,All-Image-Baseline-Director-Date-Stars-Title-SVD-Plot-Tag-Genre,All-Image-Baseline-Director-Date-Stars-Title-SVD-Plot-Tag-Genre,Director,2581.json,3,0,0,0,0,0,18.9,1,4,1,3186.json,All-Image-Director-Baseline-Date-Stars-Title-SVD-Plot-Tag-Genre,All-Image-Director-Baseline-Date-Stars-Title-SVD-Plot-Tag-Genre,Plot,74789.json,8,0,0,0,0,0,31.51,1,2,4,111659.json,All-Image-Director-Baseline-Date-Stars-Plot-Title-SVD-Tag-Genre,All-Image-Director-Baseline-Date-Stars-Plot-Title-SVD-Tag-Genre,Tag,2125.json,9,0,0,0,0,0,16.06,1,3,4,0,0,0,0,0,2.8,0,5.4,83.31,396.61,TRUE,2,2,38,3,Female,1,3,4,3,1,2,4,3,4,2,2,45,3,4,2,2,3,3,3,4,3,2,,1,30,9,38,50,24,12,19,45,36,11,1,0,1,1,0,0,1,0,1,0,0
KG27VO21VCSQM,2020-10-09T12:20:52.037Z,3,TRUE,8533.json,Date-Plot-Title-Genre-Image-All-SVD-Director-Tag-Stars-Baseline,Date-Plot-Title-Genre-Image-All-SVD-Director-Tag-Stars-Baseline,Director,7151.json,7,0,0,0,0,0,147.77,0,3,1,39183.json,Director-Date-Plot-Title-Genre-Image-All-SVD-Tag-Stars-Baseline,Director-Date-Plot-Title-Genre-Image-All-SVD-Tag-Stars-Baseline,Genre,74.json,4,0,0,0,0,0,41.45,0,3,0,105844.json,Director-Date-Genre-Plot-Title-Image-All-SVD-Tag-Stars-Baseline,Director-Date-Genre-Plot-Title-Image-All-SVD-Tag-Stars-Baseline,Genre,63876.json,2,0,0,0,0,0,42.57,0,4,0,2313.json,Director-Genre-Date-Plot-Title-Image-All-SVD-Tag-Stars-Baseline,Director-Genre-Date-Plot-Title-Image-All-SVD-Tag-Stars-Baseline,Genre,69640.json,1,0,0,0,0,0,38.66,0,4,4,1088.json,Director-Genre-Date-Plot-Title-Image-All-SVD-Tag-Stars-Baseline,Director-Genre-Date-Plot-Title-Image-All-SVD-Tag-Stars-Baseline,Genre,54190.json,1,0,0,0,0,0,37.51,0,4,3,0,0,0,0,0,1.6,0,3,121.7,737.22,TRUE,4,0,63,5,Female,1,4,2,4,1,4,2,5,1,4,1,85,2,2,4,3,4,3.6,4,5,4,3,n/a,29,17,24,12,11,45,7,6,40,34,50,0,0,0,0,4,0,1,0,0,0,0
KG27Y477X1KZP,2020-10-09T12:21:53.976Z,3,FALSE,88810.json,Baseline-Date-Stars-Tag-Image-Plot-SVD-Director-Genre-Title-All,Baseline-Date-Stars-Tag-Image-Plot-SVD-Director-Genre-Title-All,Image,46578.json,4,0,0,0,0,0,53.77,0,2,0,69.json,Image-Baseline-Date-Stars-Tag-Plot-SVD-Director-Genre-Title-All,Image-Baseline-Date-Stars-Tag-Plot-SVD-Director-Genre-Title-All,Date,147.json,2,0,0,0,0,0,28.24,0,4,1,2572.json,Image-Date-Baseline-Stars-Tag-Plot-SVD-Director-Genre-Title-All,Image-Date-Baseline-Stars-Tag-Plot-SVD-Director-Genre-Title-All,Plot,2144.json,5,0,0,0,0,0,25.5,0,5,0,2082.json,Image-Date-Baseline-Plot-Stars-Tag-SVD-Director-Genre-Title-All,Image-Date-Baseline-Plot-Stars-Tag-SVD-Director-Genre-Title-All,Tag,1302.json,5,0,0,0,0,0,26.17,0,5,1,253.json,Image-Date-Baseline-Tag-Plot-Stars-SVD-Director-Genre-Title-All,Image-Date-Baseline-Tag-Plot-Stars-SVD-Director-Genre-Title-All,Plot,5992.json,4,0,0,0,0,0,27.82,0,4,0,0,0,0,0,0,0.4,0,4,97,441.99,TRUE,2,2,32,2,Female,1,5,1,5,1,3,1,4,1,5,1,92.5,1,1,4,5,4,4,4,4,5,5,none,50,45,4,22,40,17,35,6,19,30,7,0,0,1,2,0,0,0,1,1,0,0
KG27Z0Y7TIYIQ,2020-10-09T12:22:44.563Z,3,TRUE,2513.json,Image-Date-Plot-Director-All-SVD-Title-Baseline-Tag-Stars-Genre,Image-Date-Plot-Director-All-SVD-Title-Baseline-Tag-Stars-Genre,Director,1974.json,3,0,0,0,0,0,45.84,0,5,4,1259.json,Director-Image-Date-Plot-All-SVD-Title-Baseline-Tag-Stars-Genre,Director-Image-Date-Plot-All-SVD-Title-Baseline-Tag-Stars-Genre,All,3949.json,4,0,0,0,0,0,31.41,0,5,0,3499.json,Director-Image-All-Date-Plot-SVD-Title-Baseline-Tag-Stars-Genre,Director-Image-All-Date-Plot-SVD-Title-Baseline-Tag-Stars-Genre,Image,1345.json,1,0,0,0,0,0,8.06,0,5,1,8914.json,Director-Image-All-Date-Plot-SVD-Title-Baseline-Tag-Stars-Genre,Director-Image-All-Date-Plot-SVD-Title-Baseline-Tag-Stars-Genre,Director,52458.json,0,0,0,0,0,0,17.12,0,5,2,318.json,Director-Image-All-Date-Plot-SVD-Title-Baseline-Tag-Stars-Genre,Director-Image-All-Date-Plot-SVD-Title-Baseline-Tag-Stars-Genre,Director,3147.json,0,0,0,0,0,0,6.99,0,5,0,0,0,0,0,0,1.4,0,1.6,64.87,354.04,TRUE,1,7,32,2,Female,1,5,1,5,1,5,1,5,1,4,1,97.5,1,1,3,5,1,5,5,5,5,5,fun!,14,30,4,17,50,45,3,12,40,25,35,1,0,1,0,0,0,3,0,0,0,0
KG27ZPPDSQ1DL,2020-10-09T12:23:10.921Z,3,FALSE,1721.json,Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All-Image,Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All-Image,Image,8373.json,10,0,0,0,0,0,91.99,1,5,2,8961.json,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image,59784.json,0,0,0,0,0,0,11.12,0,4,2,858.json,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image,6664.json,0,0,0,0,0,0,36.01,0,3,1,318.json,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image,1183.json,0,0,0,0,0,0,65.34,0,5,4,2116.json,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image-Baseline-Stars-Plot-Tag-SVD-Date-Genre-Director-Title-All,Image,4993.json,0,0,0,0,0,0,40.19,0,4,2,0,0,0,0,0,2.2,0,2,189.21,1077.99,FALSE,2,4,27,2,Male,2,4,1,3,4,3,3,2,4,4,4,50,3,4,4,5,4,4.2,3,4,4,5,Very very interesting survey to do.,49,44,10,14,34,9,39,29,19,24,4,0,0,5,0,0,0,0,0,0,0,0
KG27Y4BEE3JTV,2020-10-09T12:23:14.489Z,3,TRUE,2990.json,Image-Baseline-Plot-Title-Stars-Genre-All-Director-Tag-SVD-Date,Image-Baseline-Plot-Title-Stars-Genre-All-Director-Tag-SVD-Date,Title,104211.json,3,0,0,0,0,0,87.09,0,5,3,2640.json,Title-Image-Baseline-Plot-Stars-Genre-All-Director-Tag-SVD-Date,Title-Image-Baseline-Plot-Stars-Genre-All-Director-Tag-SVD-Date,Title,8636.json,0,0,0,0,0,0,13.12,0,5,3,260.json,Title-Image-Baseline-Plot-Stars-Genre-All-Director-Tag-SVD-Date,Title-Image-Baseline-Plot-Stars-Genre-All-Director-Tag-SVD-Date,Title,737.json,0,0,0,0,0,0,23.29,0,5,4,94677.json,Title-Image-Baseline-Plot-Stars-Genre-All-Director-Tag-SVD-Date,Title-Image-Baseline-Plot-Stars-Genre-All-Director-Tag-SVD-Date,SVD,119141.json,9,0,0,0,0,0,22.13,0,5,0,3701.json,Title-Image-Baseline-Plot-Stars-Genre-All-SVD-Director-Tag-Date,Title-Image-Baseline-Plot-Stars-Genre-All-SVD-Director-Tag-Date,Title,87430.json,0,0,0,0,0,0,17.58,0,4,4,0,0,0,0,0,2.8,0,2.4,427.49,1089.17,TRUE,1,7,32,2,Female,1,4,4,5,1,5,1,5,1,5,1,90,1,1,5,5,5,4.8,4,5,5,5,this method was so useful,30,3,4,14,25,20,36,50,41,43,9,0,4,0,0,0,0,0,0,0,1,0
KG2812HKCDDQV,2020-10-09T12:23:44.056Z,3,FALSE,3168.json,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag,97.json,0,0,0,0,0,0,4.45,0,3,3,374.json,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Date,231.json,1,0,0,0,0,0,5.29,0,4,1,2121.json,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag,879.json,0,0,0,0,0,0,7.57,0,4,2,8376.json,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag,223.json,0,0,0,0,0,0,3.04,0,4,3,540.json,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,Tag-Date-Baseline-Genre-SVD-Director-Plot-Image-Stars-All-Title,All,140174.json,9,0,0,0,0,0,7.84,0,4,4,0,0,0,0,0,2.6,0,2,125.35,301.36,FALSE,2,4,28,2,Male,2,3,4,3,2,3,3,2,3,4,3,50,2,3,4,3,3,3.8,3,2,3,4,nice study,45,50,35,30,15,40,25,5,0,20,10,1,0,0,0,0,0,0,1,3,0,0
KG27VFZXFDLCY,2020-10-09T12:25:22.186Z,3,FALSE,1952.json,Director-Baseline-Stars-Title-Image-Tag-All-Genre-Date-SVD-Plot,Director-Baseline-Stars-Title-Image-Tag-All-Genre-Date-SVD-Plot,Plot,2518.json,10,0,0,0,0,0,76.91,0,2,2,69844.json,Plot-Director-Baseline-Stars-Title-Image-Tag-All-Genre-Date-SVD,Plot-Director-Baseline-Stars-Title-Image-Tag-All-Genre-Date-SVD,Title,81834.json,4,0,0,0,0,0,17.62,0,5,1,1271.json,Plot-Director-Title-Baseline-Stars-Image-Tag-All-Genre-Date-SVD,Plot-Director-Title-Baseline-Stars-Image-Tag-All-Genre-Date-SVD,Director,2324.json,1,0,0,0,0,0,17.41,0,5,0,4321.json,Plot-Director-Title-Baseline-Stars-Image-Tag-All-Genre-Date-SVD,Plot-Director-Title-Baseline-Stars-Image-Tag-All-Genre-Date-SVD,Director,383.json,1,0,0,0,0,0,13.99,0,3,2,8957.json,Director-Plot-Title-Baseline-Stars-Image-Tag-All-Genre-Date-SVD,Director-Plot-Title-Baseline-Stars-Image-Tag-All-Genre-Date-SVD,Plot,628.json,1,0,0,0,0,0,25.24,0,5,0,0,0,0,0,0,1,0,3.4,166.8,988.84,TRUE,1,7,31,2,Male,2,3,1,4,4,3,3,5,1,4,1,72.5,1,4,3,4,4,4,4,3,3,3,This was interesting and fun . I felt like most of the recommendations where on par.,34,13,24,11,39,17,3,44,29,49,12,0,1,0,2,0,0,2,0,0,0,0
KG284B9P1H4JB,2020-10-09T12:27:15.127Z,3,TRUE,56782.json,Director-Title-Stars-Tag-Date-All-Baseline-SVD-Plot-Genre-Image,Director-Title-Stars-Tag-Date-All-Baseline-SVD-Plot-Genre-Image,Director,80463.json,0,0,0,0,0,0,171.17,2,4,4,148626.json,Director-Title-Stars-Tag-Date-All-Baseline-SVD-Plot-Genre-Image,Director-Title-Stars-Tag-Date-All-Baseline-SVD-Plot-Genre-Image,Tag,300.json,3,0,0,0,0,0,69.28,0,2,4,608.json,Director-Tag-Title-Stars-Date-All-Baseline-SVD-Plot-Genre-Image,Director-Tag-Title-Stars-Date-All-Baseline-SVD-Plot-Genre-Image,Stars,61323.json,3,0,0,0,0,0,66.33,0,5,2,1965.json,Director-Stars-Tag-Title-Date-All-Baseline-SVD-Plot-Genre-Image,Director-Stars-Tag-Title-Date-All-Baseline-SVD-Plot-Genre-Image,Date,2021.json,4,0,0,0,0,0,42.71,0,2,3,2921.json,Director-Stars-Tag-Title-Date-All-Baseline-SVD-Plot-Genre-Image,Director-Stars-Tag-Title-Date-All-Baseline-SVD-Plot-Genre-Image,Director,3508.json,0,0,0,0,0,0,20.75,0,5,2,0,0,0,0,0,3,0,2,117.57,799.02,TRUE,2,2,51,4,Male,2,4,1,5,1,4,2,4,1,4,1,87.5,1,1,4,4,4,3.6,4,3,4,4,Nice,25,10,50,40,45,9,0,20,11,35,30,0,0,0,0,0,1,2,1,1,0,0
KG286JYEZKGIL,2020-10-09T12:28:38.463Z,3,TRUE,4734.json,Title-Stars-All-Tag-Baseline-Date-Plot-Genre-SVD-Image-Director,Title-Stars-All-Tag-Baseline-Date-Plot-Genre-SVD-Image-Director,All,45728.json,2,0,0,0,0,0,54.65,0,4,0,3671.json,All-Title-Stars-Tag-Baseline-Date-Plot-Genre-SVD-Image-Director,All-Title-Stars-Tag-Baseline-Date-Plot-Genre-SVD-Image-Director,Tag,1288.json,3,0,0,0,0,0,46.99,0,5,1,316.json,All-Tag-Title-Stars-Baseline-Date-Plot-Genre-SVD-Image-Director,All-Tag-Title-Stars-Baseline-Date-Plot-Genre-SVD-Image-Director,Genre,68358.json,7,0,0,0,0,0,68.58,0,5,0,333.json,All-Tag-Title-Stars-Baseline-Genre-Date-Plot-SVD-Image-Director,All-Tag-Title-Stars-Baseline-Genre-Date-Plot-SVD-Image-Director,Tag,785.json,1,0,0,0,0,0,29.42,0,5,3,135.json,All-Tag-Title-Stars-Baseline-Genre-Date-Plot-SVD-Image-Director,All-Tag-Title-Stars-Baseline-Genre-Date-Plot-SVD-Image-Director,Tag,2478.json,1,0,0,0,0,0,133.35,2,3,2,0,0,0,0,0,1.2,0,2.8,224.18,799.85,TRUE,2,1,37,3,Male,2,4,1,5,1,4,3,5,1,5,1,90,1,4,3,4,1,4.4,3,5,5,4,"This seems a lot better than Netflix's current algorithm. There's never any sort of variety there, and when they DO have one I'm interested in, it's always the second movie in the series, or a the 10th that went direct to DVD",2,7,45,32,31,12,50,27,9,40,20,1,0,0,0,1,0,0,0,3,0,0
KG285VHBBC551,2020-10-09T12:29:14.193Z,3,FALSE,4368.json,Title-SVD-Baseline-All-Date-Stars-Genre-Director-Image-Tag-Plot,Title-SVD-Baseline-All-Date-Stars-Genre-Director-Image-Tag-Plot,Stars,78637.json,5,0,0,0,0,0,57.3,0,4,1,3785.json,Stars-Title-SVD-Baseline-All-Date-Genre-Director-Image-Tag-Plot,Stars-Title-SVD-Baseline-All-Date-Genre-Director-Image-Tag-Plot,Stars,4388.json,0,0,0,0,0,0,34.43,2,5,0,166528.json,Stars-Title-SVD-Baseline-All-Date-Genre-Director-Image-Tag-Plot,Stars-Title-SVD-Baseline-All-Date-Genre-Director-Image-Tag-Plot,All,87430.json,4,0,0,0,0,0,43.19,0,2,2,122904.json,Stars-Title-SVD-All-Baseline-Date-Genre-Director-Image-Tag-Plot,Stars-Title-SVD-All-Baseline-Date-Genre-Director-Image-Tag-Plot,Image,90249.json,8,0,0,0,0,0,43.91,0,5,1,58559.json,Stars-Title-SVD-All-Baseline-Date-Image-Genre-Director-Tag-Plot,Stars-Title-SVD-All-Baseline-Date-Image-Genre-Director-Tag-Plot,Director,79132.json,8,0,0,0,0,0,67.86,0,3,1,0,0,0,0,0,1,0,5,193.93,947.88,TRUE,1,3,35,3,Female,1,4,2,5,4,4,2,5,4,4,5,62.5,4,3,4,3,4,3.8,5,5,4,4,The recommendations are similar to search item,17,4,38,50,31,5,36,24,45,9,16,1,0,1,0,0,2,1,0,0,0,0
KG2888RCQ5R9S,2020-10-09T12:30:49.994Z,3,TRUE,750.json,Title-Image-Baseline-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Title-Image-Baseline-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Title,316.json,0,0,0,0,0,0,213.49,2,2,2,1196.json,Title-Image-Baseline-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Title-Image-Baseline-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Baseline,3638.json,2,0,0,0,0,0,80.13,0,1,4,784.json,Title-Baseline-Image-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Title-Baseline-Image-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Title,3098.json,0,0,0,0,0,0,66.09,0,1,3,3698.json,Title-Baseline-Image-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Title-Baseline-Image-Director-All-Stars-Plot-Date-Genre-Tag-SVD,Stars,1587.json,5,0,0,0,0,0,57.72,0,2,3,1270.json,Title-Baseline-Image-Director-Stars-All-Plot-Date-Genre-Tag-SVD,Title-Baseline-Image-Director-Stars-All-Plot-Date-Genre-Tag-SVD,Image,3959.json,2,0,0,0,0,0,90.36,0,2,4,0,0,0,0,0,3.2,0,1.8,103.97,864.06,TRUE,4,1,42,3,Male,2,1,4,3,1,2,5,4,2,1,1,45,4,5,2,1,3,1.6,5,4,2,1,No issues or comments.  Thanks.,21,0,8,30,40,24,15,35,45,50,7,0,2,1,0,0,1,0,0,0,0,1
